total_deaths_per_million,median_age
192.97,18.6
1236.203,38
155.643,29.1
55.414,16.8
1544.733,32.1
2855.283,31.9
3093.185,35.7
2102.576,41.2
435.938,37.9
2270.098,44.4
943.955,32.4
2015.17,34.3
1029.205,32.4
172.837,27.5
1721.195,39.8
743.148,40.3
2771.323,41.8
1699.868,25
12.541,18.8
27.01,28.6
1823.341,25.4
4842.334,42.5
1067.445,25.8
3159.403,33.5
505.195,32.4
5422.991,44.7
17.511,17.6
3.028,17.5
184.218,25.6
70.996,18.8
1118.988,41.4
695.667,25.7
20.707,18.3
11.234,16.7
3046.347,35.4
3.665,38.7
2729.278,32.2
194.736,20.4
66.143,19
1682.203,33.6
29.478,18.7
3998.636,44
757.704,43.1
1481.575,41.7
1226.553,37.3
3842.732,43.3
14.495,17
1125.851,42.3
170.955,25.4
394.23,27.6
2011.098,28.1
226.657,25.3
663.429,27.6
111.963,22.4
28.451,19.3
1965.83,42.7
1188.488,21.5
62.91,19.8
940.937,28.6
905.348,42.8
2248.954,42
2134.644,32.7
130.703,23.1
139.398,17.5
4484.856,38.7
1718.817,46.6
44.346,21.1
2939.773,45.3
1869.834,29.4
1075.618,22.9
32.885,19
82.981,19.4
1578.489,26.3
73.203,24.3
1063.498,24.9
1263.847,44.8
4813.288,43.4
483.346,37.3
373.773,28.2
573.202,29.3
1611.823,32.4
581,20
1528.118,38.7
1216.231,30.6
2886.193,47.9
1126.006,31.4
256.363,48.2
1262.437,23.2
990.86,30.6
106.97,20
100.874,23.2
602.101,33.7
458.198,26.3
101.952,24.4
3137.275,43.9
1879.616,31.1
307.699,22.2
56.61,19.2
954.823,29
3301.813,43.5
1733.089,39.7
8.739,39.2
48.659,19.6
133.737,18.1
1069.969,29.9
588.734,30.6
33.645,16.4
1492.175,42.4
214.519,20.3
776.802,37.4
2581.655,29.3
8.839,23
3786.372,37.6
632.956,28.6
4362.444,39.1
437.338,29.6
69.052,17.7
361.24,29.1
1608.204,22
398.102,25
1288.561,43.2
1091.035,33.4
378.383,37.9
35.618,27.3
12.316,15.1
14.747,18.1
0.231,35.3
4449.611,39.1
665.554,39.7
1023.787,30.7
131.676,23.5
1103.364,20.4
1929.323,29.7
66.536,22.6
2856.142,26.5
6349.34,29.1
532.963,25.2
3041.423,41.8
2386.273,46.2
252.954,31.9
3407.496,43
2580.544,39.6
108.9,20.3
2143.032,34.9
1102.251,31.8
132.563,22
331.679,18.7
257.021,31.9
116.61,18.7
2360.895,41.2
1577.909,36.2
14.844,19.1
271.93,42.4
3707.673,41.2
3154.652,44.5
216.147,20.8
79.751,16.8
1716.638,27.3
480.551,43.4
12.839,19.2
2320.365,45.5
759.595,34.1
108.526,19.7
2249.651,29.6
1839.001,41
1596.635,43.1
147.718,21.7
362.491,42.2
12.82,23.3
13.226,17.7
435.594,40.1
100.686,18
32.042,19.4
113.189,22.3
2651.306,36.2
2360.118,32.7
1169.962,31.6
79.121,16.4
2674.941,41.4
249.008,34
2718.626,40.8
3048.594,38.3
2155.995,35.6
48.032,28.2
43.868,23.1
204.15,29
442.114,32.6
65.157,20.3
206.182,17.7
348.391,19.6
